Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time
slither,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,CryptoRoulette (smartbugs-dataset/other/crypto_roulette.sol#14-61) contract sets array length with a user-controlled value:,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#array-length-assignment,1.2131540775299072
slither,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,"CryptoRoulette.shuffle() (smartbugs-dataset/other/crypto_roulette.sol#32-35) uses a weak PRNG: ""secretNumber = uint8(sha3()(now,block.blockhash(block.number - 1))) % 20 + 1 (smartbugs-dataset/other/crypto_roulette.sol#34)"" ",High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#weak-PRNG,1.2131540775299072
slither,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,CryptoRoulette.play(uint256).game (smartbugs-dataset/other/crypto_roulette.sol#40) is a storage variable never initialized,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#uninitialized-storage-variables,1.2131540775299072
slither,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,CryptoRoulette.play(uint256) (smartbugs-dataset/other/crypto_roulette.sol#37-52) uses a dangerous strict equality:,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#dangerous-strict-equalities,1.2131540775299072
slither,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,CryptoRoulette.play(uint256) (smartbugs-dataset/other/crypto_roulette.sol#37-52) uses timestamp for comparisons,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,"Developers should write smart contracts with the notion that block values are not precise, and the use of them can lead to unexpected effects. Alterna-tively, they may make use of oracles. refer to https://swcregistry.io/docs/SWC-116/ ",https://github.com/crytic/slither/wiki/Detector-Documentation#block-timestamp,1.2131540775299072
slither,smartbugs-dataset/other/crypto_roulette.sol,Deprecated,"Deprecated standard detected secretNumber = uint8(sha3()(now,block.blockhash(block.number - 1))) % 20 + 1 (smartbugs-dataset/other/crypto_roulette.sol#34):",High,SWC-ID: https://swcregistry.io/docs/SWC-116,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#deprecated-standards,1.2131540775299072
slither,smartbugs-dataset/other/crypto_roulette.sol,Deprecated,Pragma version^0.4.19 (smartbugs-dataset/other/crypto_roulette.sol#5) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.2131540775299072
slither,smartbugs-dataset/other/crypto_roulette.sol,Deprecated,Reentrancy in CryptoRoulette.play(uint256) (smartbugs-dataset/other/crypto_roulette.sol#37-52):,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#reentrancy-vulnerabilities-4,1.2131540775299072
slither,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,CryptoRoulette.betPrice (smartbugs-dataset/other/crypto_roulette.sol#18) should be constant ,High,SWC-ID: https://swcregistry.io/docs/SWC-107,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#state-variables-that-could-be-declared-constant,1.2131540775299072
mythril,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,==== Exception State ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 987 - 1082,36.18092393875122
mythril,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,==== Integer Arithmetic Bugs ====,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 1859 - 2284,36.18092393875122
mythril,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,==== Dependence on predictable environment variable ====,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,A control flow decision is made based on The block.timestamp environment variable.,Estimated Gas Usage: 1839 - 2264,36.18092393875122
slither,smartbugs-dataset/other/name_registrar.sol,NameRegistrar,"NameRegistrar.register(bytes32,address).newRecord (smartbugs-dataset/other/name_registrar.sol#23) is a storage variable never initialized",High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#uninitialized-storage-variables,1.1972410678863525
slither,smartbugs-dataset/other/name_registrar.sol,NameRegistrar,Pragma version^0.4.15 (smartbugs-dataset/other/name_registrar.sol#7) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.1972410678863525
slither,smartbugs-dataset/other/name_registrar.sol,Parameter,"Parameter NameRegistrar.register(bytes32,address)._name (smartbugs-dataset/other/name_registrar.sol#20) is not in mixedCase",High,SWC-ID: https://swcregistry.io/docs/SWC-102,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#conformance-to-solidity-naming-conventions,1.1972410678863525
slither,smartbugs-dataset/other/name_registrar.sol,NameRegistrar,NameRegistrar.unlocked (smartbugs-dataset/other/name_registrar.sol#10) should be constant ,High,SWC-ID: https://swcregistry.io/docs/SWC-102,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#state-variables-that-could-be-declared-constant,1.1972410678863525
slither,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,"OpenAddressLottery.luckyNumberOfAddress(address) (smartbugs-dataset/other/open_address_lottery.sol#67-70) uses a weak PRNG: ""n = uint256(keccak256()(uint256(addr),secretSeed)[0]) % 8 (smartbugs-dataset/other/open_address_lottery.sol#69)"" ",High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#weak-PRNG,1.3310530185699463
